City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,luderitz,-26.6481,15.1594,15.47,85,0,5.52,NA,1703201232
110,akureyri,65.6835,-18.0878,-11.04,92,75,0.51,IS,1703201232
111,oxelosund,58.6706,17.1015,1.21,93,75,5.66,SE,1703201232
112,lerwick,60.1545,-1.1494,3.0,66,100,11.43,GB,1703201232
113,morondava,-20.2833,44.2833,26.79,79,44,1.01,MG,1703201233
114,leszno,51.8403,16.5749,4.46,68,65,11.78,PL,1703201233
115,stanley,54.868,-1.6985,6.82,80,0,8.23,GB,1703201233
116,ilulissat,69.2167,-51.1,-11.99,67,100,10.29,GL,1703201233
117,nova sintra,14.8667,-24.7167,20.38,64,43,7.23,CV,1703201233
118,saldanha,-33.0117,17.9442,16.03,87,0,3.42,ZA,1703201233
119,bestobe,52.4994,73.0975,1.75,91,100,7.71,KZ,1703201233
120,papatowai,-46.5619,169.4708,11.75,96,100,3.29,NZ,1703201233
121,labytnangi,66.6572,66.4183,-11.75,94,77,3.52,RU,1703201233
122,isafjordur,66.0755,-23.124,-9.99,75,99,3.37,IS,1703201233
123,puerto ayora,-0.7393,-90.3518,24.52,83,93,5.13,EC,1703201234
124,kolpashevo,58.3131,82.9089,-6.44,94,96,4.25,RU,1703201234
125,kerikeri,-35.2268,173.9474,19.0,87,100,3.25,NZ,1703201234
126,den burg,53.0542,4.7972,8.32,67,91,11.83,NL,1703201234
127,kavieng,-2.5744,150.7967,27.81,77,58,1.41,PG,1703201234
128,paharpur,32.1038,70.9724,15.19,21,100,0.2,PK,1703201234
129,porto novo,6.4965,2.6036,26.76,63,44,2.47,BJ,1703201059
130,island harbour,50.724,-1.2758,11.63,84,100,9.82,GB,1703201234
131,pinckneyville,38.0803,-89.382,11.19,55,100,3.45,US,1703201235
132,shimoda,34.6667,138.95,6.2,60,1,10.61,JP,1703201235
133,n'zeto,-7.2312,12.8666,26.5,87,98,2.18,AO,1703201235
134,sodra sandby,56.5667,16.6167,3.27,93,81,4.15,SE,1703201235
135,namie,37.4833,141.0,2.21,71,27,2.4,JP,1703201235
136,kirakira,-10.4544,161.9205,29.74,68,70,1.35,SB,1703201235
137,badger,64.8,-147.5333,-17.86,84,75,0.0,US,1703201235
138,yazd,31.8972,54.3675,5.06,52,0,2.06,IR,1703201235
139,prado,-17.3411,-39.2208,25.16,86,20,6.34,BR,1703201235
140,afaahiti,-17.75,-149.2833,26.93,91,100,5.04,PF,1703201235
141,coreau,-3.5333,-40.6567,28.29,64,100,2.25,BR,1703201235
142,sandnessjoen,66.0217,12.6316,-5.71,73,100,6.13,NO,1703201236
143,lagoa,39.05,-27.9833,16.38,69,97,6.53,PT,1703201236
144,holyhead,53.3062,-4.6321,10.15,93,100,8.23,GB,1703201236
145,tindouf,27.6711,-8.1474,11.25,32,0,2.06,DZ,1703201236
146,sucre,-19.0333,-65.2627,19.44,58,49,3.66,BO,1703201065
147,changuinola,9.4333,-82.5167,22.75,78,72,4.92,PA,1703201236
148,touros,-5.1989,-35.4608,26.42,83,97,6.26,BR,1703201236
149,korla,41.7597,86.1469,-8.78,73,5,0.22,CN,1703201236
150,tiksi,71.6872,128.8694,-26.9,98,71,5.34,RU,1703201236
151,bikenibeu village,1.3673,173.1241,23.98,94,100,2.57,KI,1703201237
152,nizhniy odes,63.6445,54.856,-8.89,98,99,1.73,RU,1703201237
153,nurota,40.5614,65.6886,2.36,61,0,0.68,UZ,1703201237
154,fortuna,40.5982,-124.1573,14.96,90,0,0.45,US,1703201237
155,wailua homesteads,22.0669,-159.378,26.24,80,75,6.69,US,1703201237
156,cole harbour,44.6724,-63.4751,-1.14,75,93,13.86,CA,1703201237
157,tadmur,34.5608,38.2805,9.87,65,57,2.72,SY,1703201237
158,charters towers,-20.1,146.2667,28.97,60,23,4.81,AU,1703201237
159,wajir,1.7471,40.0573,28.74,51,29,4.38,KE,1703201237
160,arraial do cabo,-22.9661,-42.0278,24.98,83,40,2.57,BR,1703200956
161,artesia,33.8658,-118.0831,20.93,77,75,4.63,US,1703201237
162,kuqa,41.7278,82.9364,-7.36,62,0,1.11,CN,1703201237
163,nkhotakota,-12.9274,34.2961,25.68,74,99,1.19,MW,1703201238
164,kabalo,-6.05,26.9167,21.79,96,100,0.83,CD,1703201238
165,taoudenni,22.6783,-3.9836,15.08,35,11,5.07,ML,1703201238
166,cidreira,-30.1811,-50.2056,23.2,90,1,6.98,BR,1703201238
167,darwin,-12.4611,130.8418,29.97,80,75,2.06,AU,1703201031
168,tazovsky,67.4667,78.7,-4.5,95,100,7.12,RU,1703201238
169,khandyga,62.6667,135.6,-47.27,99,75,1.11,RU,1703201238
170,krasnyy chikoy,50.3643,108.7512,-29.38,99,23,0.41,RU,1703201238
171,medina,24.4686,39.6142,22.24,49,0,2.57,SA,1703201238
172,kailua-kona,19.6406,-155.9956,25.98,88,100,1.54,US,1703201238
173,fale old settlement,-9.3852,-171.2468,28.33,79,92,4.7,TK,1703201238
174,rongelap,11.1635,166.8941,27.26,80,99,8.8,MH,1703201239
175,khanjarah,40.5999,33.6153,4.66,84,100,1.8,TR,1703201239
176,hermanus,-34.4187,19.2345,19.89,74,0,6.6,ZA,1703201239
177,kidal,18.4411,1.4078,17.0,17,93,4.92,ML,1703201239
178,sangmelima,2.9333,11.9833,23.41,82,95,1.4,CM,1703201239
179,colonia,50.9333,6.95,7.2,85,40,8.75,DE,1703201233
180,revda,56.801,59.9303,1.59,86,100,7.16,RU,1703201239
181,penzance,50.1186,-5.5371,11.38,90,100,14.08,GB,1703201239
182,laguna,38.421,-121.4238,19.6,81,40,2.06,US,1703201239
183,hithadhoo,-0.6,73.0833,27.99,78,90,5.35,MV,1703201240
184,west island,-12.1568,96.8225,24.99,94,100,3.6,CC,1703201240
185,kingston,17.997,-76.7936,26.53,69,75,5.14,JM,1703200746
186,madan,41.5,24.95,1.14,88,12,2.36,BG,1703201240
187,vilhena,-12.7406,-60.1458,24.12,94,75,3.09,BR,1703201240
188,amga,60.8953,131.9608,-38.07,100,98,0.5,RU,1703201240
189,talnakh,69.4865,88.3972,-11.55,89,100,9.1,RU,1703201240
190,chrudim,49.9511,15.7956,5.05,81,75,8.75,CZ,1703201240
191,yuanping,38.7153,112.7575,-25.18,87,20,0.4,CN,1703201240
192,avarua,-21.2078,-159.775,27.03,65,20,4.63,CK,1703201241
193,nagqu,31.5,92.0,-20.2,84,99,1.08,CN,1703201241
